Community Water System,County,EOHHS Region,EP Region,Community,Water Source,# of Residential Connections,Winter / Year Round Population Served
Barnstable Fire District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,1970,3600
Centerville Osterville Marstons Mills Wd,Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,12300,25000
Cotuit Fire District Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,2338,3296
"Hyannis Water System, Town Of Barnstable",Barnstable,Southeast,Cape/Islands Public Health Coalition,Barnstable,Ground Water,7202,18000
Barnstable County Jail,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Purchased Ground Water,1,600
Bourne Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,6452,10993
Buzzards Bay Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,2573,5830
North Sagamore Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,1874,3731
Schooner Pass Trustees Condominiums,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Purchased Ground Water,69,136
South Sagamore Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Bourne,Ground Water,420,1200
Brewster Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Brewster,Ground Water,7281,9820
Chatham Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Chatham,Ground Water,7188,6561
Dennis Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Dennis,Ground Water,14416,15973
Salt Pond Cottages,Barnstable,Southeast,Cape/Islands Public Health Coalition,Eastham,Ground Water,8,32
Town Of Eastham,Barnstable,Southeast,Cape/Islands Public Health Coalition,Eastham,Ground Water,834,4904
Falmouth Water Dept.,Barnstable,Southeast,Cape/Islands Public Health Coalition,Falmouth,Ground Water,21478,33000
Otis Air National Guard Base,Barnstable,Southeast,Cape/Islands Public Health Coalition,Falmouth,Ground Water,337,3000
Harwich Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Harwich,Ground Water,9934,13354
Beechwood Point Condos,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,53,88
Lakeside Estates,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,1,70
Mashpee Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,9956,15341
Oak Hollow Condominiums,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,16,98
Sea Oaks Condominiums,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,19,222
Stratford Ponds Water System,Barnstable,Southeast,Cape/Islands Public Health Coalition,Mashpee,Ground Water,65,66
Orleans Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Orleans,Ground Water,5266,5890
Provincetown Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Provincetown,Ground Water,3921,2942
Sandwich Water District,Barnstable,Southeast,Cape/Islands Public Health Coalition,Sandwich,Ground Water,7067,17775
Southpoint Condominium Trust,Barnstable,Southeast,Cape/Islands Public Health Coalition,Sandwich,Ground Water,64,75
Upper Cape Regional Water Cooperative,Barnstable,Southeast,Cape/Islands Public Health Coalition,Sandwich,Ground Water,6,37500
Stones Throw Condos,Barnstable,Southeast,Cape/Islands Public Health Coalition,Truro,Ground Water,27,25
Harborside Village,Barnstable,Southeast,Cape/Islands Public Health Coalition,Wellfleet,Ground Water,86,25
Massasoit Hills Trailer Park,Barnstable,Southeast,Cape/Islands Public Health Coalition,Wellfleet,Ground Water,120,50
Pleasant Water,Barnstable,Southeast,Cape/Islands Public Health Coalition,Wellfleet,Ground Water,63,25
Wellfleet Apartments,Barnstable,Southeast,Cape/Islands Public Health Coalition,Wellfleet,Ground Water,5,48
Wellfleet Municipal Water System,Barnstable,Southeast,Cape/Islands Public Health Coalition,Wellfleet,Ground Water,259,250
Yarmouth Water Department,Barnstable,Southeast,Cape/Islands Public Health Coalition,Yarmouth,Ground Water,16282,23793
Adams Fire District,Berkshire,Western,Berkshire County Coalition,Adams,Ground Water,3035,8100
Berkshire Estates,Berkshire,Western,Berkshire County Coalition,Cheshire,Ground Water,96,174
Cheshire Water Dept.,Berkshire,Western,Berkshire County Coalition,Cheshire,Ground Water,565,1407
Hutchinson Water LLC,Berkshire,Western,Berkshire County Coalition,Cheshire,Ground Water,123,400
Briggsville Water District,Berkshire,Western,Berkshire County Coalition,Clarksburg,Ground Water,63,180
Dalton Fire District,Berkshire,Western,Berkshire County Coalition,Dalton,Ground Water,2230,6413
Egremont Water Dept.,Berkshire,Western,Berkshire County Coalition,Egremont,Surface Water,167,600
Jug End Spring Water System,Berkshire,Western,Berkshire County Coalition,Egremont,Ground Water,9,25
Bard College At Simons Rock,Berkshire,Western,Berkshire County Coalition,Great Barrington,Purchased Ground Water,20,500
Great Barrington Fire Dist.,Berkshire,Western,Berkshire County Coalition,Great Barrington,Ground Water,1700,4100
Housatonic Water Works,Berkshire,Western,Berkshire County Coalition,Great Barrington,Surface Water,825,1391
Beaver Pond Meadows,Berkshire,Western,Berkshire County Coalition,Hancock,Ground Water,27,160
Jiminy Peak Resort,Berkshire,Western,Berkshire County Coalition,Hancock,Ground Water,190,1000
Shaker Heights Association,Berkshire,Western,Berkshire County Coalition,Hancock,Ground Water,17,45
Ashmere Lake Nominee Trust,Berkshire,Western,Berkshire County Coalition,Hinsdale,Ground Water,2,35
Ashmere Manor Nursing Home,Berkshire,Western,Berkshire County Coalition,Hinsdale,Ground Water,2,124
Ashmere Water Service,Berkshire,Western,Berkshire County Coalition,Hinsdale,Ground Water,26,66
Bisselville Estate,Berkshire,Western,Berkshire County Coalition,Hinsdale,Ground Water,29,74
Hinsdale Water Dept.,Berkshire,Western,Berkshire County Coalition,Hinsdale,Surface Water,424,1200
South Ashmere Water Association Inc.,Berkshire,Western,Berkshire County Coalition,Hinsdale,Ground Water,50,25
Berkshire Village Cooperative,Berkshire,Western,Berkshire County Coalition,Lanesborough,Ground Water,33,34
Greylock Estates Homeowners Association,Berkshire,Western,Berkshire County Coalition,Lanesborough,Ground Water,14,25
Lanesborough Fire And Water District,Berkshire,Western,Berkshire County Coalition,Lanesborough,Ground Water,888,2324
High Lawn Farm,Berkshire,Western,Berkshire County Coalition,Lee,Ground Water,14,43
Lee Water Dept.,Berkshire,Western,Berkshire County Coalition,Lee,Surface Water,2168,5051
Lenox DPW Water Division,Berkshire,Western,Berkshire County Coalition,Lenox,Surface Water,2140,4868
Gould Farm,Berkshire,Western,Berkshire County Coalition,Monterey,Ground Water,34,93
Monterey Water Company,Berkshire,Western,Berkshire County Coalition,Monterey,Ground Water,72,107
Kolburne School,Berkshire,Western,Berkshire County Coalition,New Marlborough,Ground Water,12,130
Mill River Water Takers Association,Berkshire,Western,Berkshire County Coalition,New Marlborough,Ground Water,31,30
Southfield Water Company,Berkshire,Western,Berkshire County Coalition,New Marlborough,Ground Water,36,60
North Adams Water Dept.,Berkshire,Western,Berkshire County Coalition,North Adams,Ground Water,4203,13000
Pittsfield DPU Water Dept.,Berkshire,Western,Berkshire County Coalition,Pittsfield,Surface Water,15529,44737
View Drive Water Association,Berkshire,Western,Berkshire County Coalition,Richmond,Ground Water,18,35
Berkshire Rehab Skilled Care Ctr.,Berkshire,Western,Berkshire County Coalition,Sandisfield,Ground Water,2,100
Berkshire School,Berkshire,Western,Berkshire County Coalition,Sheffield,Ground Water,36,475
Mountain Water Systems,Berkshire,Western,Berkshire County Coalition,Sheffield,Ground Water,487,965
Cherry Hill Farm,Berkshire,Western,Berkshire County Coalition,Stockbridge,Ground Water,6,25
Heron Pond At Stockbridge,Berkshire,Western,Berkshire County Coalition,Stockbridge,Ground Water,9,50
Kripalu Center,Berkshire,Western,Berkshire County Coalition,Stockbridge,Ground Water,3,350
Manitauk Heights,Berkshire,Western,Berkshire County Coalition,Stockbridge,Ground Water,4,25
Oronoque Condominium Trust,Berkshire,Western,Berkshire County Coalition,Stockbridge,Ground Water,9,25
Stockbridge Water Dept.,Berkshire,Western,Berkshire County Coalition,Stockbridge,Surface Water,732,1800
White Pines Condominiums,Berkshire,Western,Berkshire County Coalition,Stockbridge,Ground Water,70,35
Maple View Nursing Home,Berkshire,Western,Berkshire County Coalition,Washington,Ground Water,1,65
Mill Pond Park,Berkshire,Western,Berkshire County Coalition,West Stockbridge,Ground Water,34,80
West Stockbridge Water Dept.,Berkshire,Western,Berkshire County Coalition,West Stockbridge,Ground Water,226,535
Sweet Wood Retirement Community,Berkshire,Western,Berkshire County Coalition,Williamstown,Ground Water,2,200
Waubeeka Springs,Berkshire,Western,Berkshire County Coalition,Williamstown,Ground Water,19,50
Williamstown Water Dept.,Berkshire,Western,Berkshire County Coalition,Williamstown,Ground Water,2107,7326
Acushnet Manufactured Homes,Bristol,Southeast,Bristol County Public Health Coalition,Acushnet,Ground Water,60,85
Acushnet Water Department,Bristol,Southeast,Bristol County Public Health Coalition,Acushnet,Purchased Surface Water,2868,8087
Brookside Mobile Home Park,Bristol,Southeast,Bristol County Public Health Coalition,Acushnet,Ground Water,47,67
Attleboro Water Dept.,Bristol,Southeast,Bristol County Public Health Coalition,Attleboro,Ground Water,14520,43593
Dartmouth Water Division,Bristol,Southeast,Bristol County Public Health Coalition,Dartmouth,Ground Water,10078,24412
Dighton Water District,Bristol,Southeast,Bristol County Public Health Coalition,Dighton,Ground Water,1924,4912
Inima Usa / Aquaria LLC,Bristol,Southeast,Bristol County Public Health Coalition,Dighton,Surface Water,1,93810
North Dighton Fire District,Bristol,Southeast,Bristol County Public Health Coalition,Dighton,Purchased Surface Water,387,1300
Easton Water Div.,Bristol,Southeast,Bristol County Public Health Coalition,Easton,Ground Water,7532,23112
Fairhaven Water Dept.,Bristol,Southeast,Bristol County Public Health Coalition,Fairhaven,Ground Water,6883,15792
Fall River Water Department,Bristol,Southeast,Bristol County Public Health Coalition,Fall River,Surface Water,17032,89541
Freetown Water Commission,Bristol,Southeast,Bristol County Public Health Coalition,Freetown,Ground Water,609,1600
Mansfield Water Division,Bristol,Southeast,Bristol County Public Health Coalition,Mansfield,Ground Water,7866,24113
City Of New Bedford DPI,Bristol,Southeast,Bristol County Public Health Coalition,New Bedford,Surface Water,23559,95072
Kings Grant Water Co. Inc.,Bristol,Southeast,Bristol County Public Health Coalition,North Attleborough,Ground Water,153,434
North Attleboro Water Dept.,Bristol,Southeast,Bristol County Public Health Coalition,North Attleborough,Ground Water,9093,28712
Norton Water Department,Bristol,Southeast,Bristol County Public Health Coalition,Norton,Ground Water,5840,19031
North Raynham Water District,Bristol,Southeast,Bristol County Public Health Coalition,Raynham,Ground Water,1416,3967
Raynham Center Water District,Bristol,Southeast,Bristol County Public Health Coalition,Raynham,Ground Water,3070,10378
"Horton Estates Condominium Trust, Inc.",Bristol,Southeast,Bristol County Public Health Coalition,Rehoboth,Ground Water,30,62
The Reserve At Spring Hill,Bristol,Southeast,Bristol County Public Health Coalition,Rehoboth,Ground Water,200,100
Seekonk Water District,Bristol,Southeast,Bristol County Public Health Coalition,Seekonk,Ground Water,4914,12975
Somerset Water Department,Bristol,Southeast,Bristol County Public Health Coalition,Somerset,Ground Water,6773,18165
Swansea Water District,Bristol,Southeast,Bristol County Public Health Coalition,Swansea,Ground Water,6413,16132
Dever Developmental Center,Bristol,Southeast,Bristol County Public Health Coalition,Taunton,Ground Water,18,150
Taunton Water Division,Bristol,Southeast,Bristol County Public Health Coalition,Taunton,Surface Water,16038,58088
M.A.M.O. Realty LLC,Bristol,Southeast,Bristol County Public Health Coalition,Westport,Ground Water,1,35
Noquochoke Village LLC,Bristol,Southeast,Bristol County Public Health Coalition,Westport,Ground Water,12,180
St. Vincent De Paul Camp,Bristol,Southeast,Bristol County Public Health Coalition,Westport,Ground Water,1,52
Town Of Westport,Bristol,Southeast,Bristol County Public Health Coalition,Westport,Surface Water,150,250
Westport Senior Village,Bristol,Southeast,Bristol County Public Health Coalition,Westport,Ground Water,16,125
Menemsha Water Company,Dukes,Southeast,Cape/Islands Public Health Coalition,Chilmark,Ground Water,95,31
Edgartown Water Department,Dukes,Southeast,Cape/Islands Public Health Coalition,Edgartown,Ground Water,3395,4000
Gosnold Water Dept.,Dukes,Southeast,Cape/Islands Public Health Coalition,Gosnold,Ground Water,185,40
Oak Bluffs Water District,Dukes,Southeast,Cape/Islands Public Health Coalition,Oak Bluffs,Ground Water,4613,4678
Island Cohousing,Dukes,Southeast,Cape/Islands Public Health Coalition,Tisbury,Ground Water,17,46
Scotts Grove LLC,Dukes,Southeast,Cape/Islands Public Health Coalition,Tisbury,Ground Water,4,36
Tisbury Water Works,Dukes,Southeast,Cape/Islands Public Health Coalition,Tisbury,Ground Water,2777,6082
Andover Water Dept.,Essex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,Andover,Ground Water,12482,33201
Lawrence Water Works,Essex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,Lawrence,Surface Water,12644,80162
Lynnfield Center Water District,Essex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,Lynnfield,Ground Water,2716,8326
Lynnfield Water Dist. (MWRA),Essex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,Lynnfield,Purchased Surface Water,1475,4820
Methuen Water Dept.,Essex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,Methuen,Surface Water,14984,50706
North Andover Water Dept.,Essex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,North Andover,Ground Water,7991,31685
Beverly Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Beverly,Purchased Surface Water,11032,43648
Salem And Beverly Water Supply Board,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Beverly,Surface Water,2,86517
Danvers Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Danvers,Ground Water,8208,26493
Essex Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Essex,Ground Water,1100,2193
Gloucester Public Utility Division,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Gloucester,Ground Water,11349,30430
Hamilton Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Hamilton,Ground Water,2539,7833
Lynn Water And Sewer Comm,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Lynn,Surface Water,20942,90329
Manchester By The Sea DPW,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Manchester,Ground Water,2533,5609
Marblehead Water Dept. (MWRA),Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Marblehead,Purchased Surface Water,8067,19808
Nahant Water Dept. (MWRA),Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Nahant,Purchased Surface Water,1962,3410
Peabody Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Peabody,Ground Water,13783,52377
Rockport Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Rockport,Ground Water,3404,7322
Salem Water Department,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Salem,Purchased Surface Water,10906,42869
Saugus Water Dept. (MWRA),Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Saugus,Purchased Surface Water,9666,23757
Swampscott Water Dept. (MWRA),Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Swampscott,Purchased Surface Water,5801,14793
Wenham Water Dept.,Essex,Northeast,North Shore/Cape Ann Emergency Preparedness Coalition,Wenham,Ground Water,1219,3942
Amesbury DPW Water Div.,Essex,Northeast,Northeast Public Health Coalition,Amesbury,Ground Water,5926,16283
"Andrews Farm Water Co., Inc.",Essex,Northeast,Northeast Public Health Coalition,Boxford,Ground Water,53,145
Four Mile Village,Essex,Northeast,Northeast Public Health Coalition,Boxford,Ground Water,13,116
Georgetown Water Department,Essex,Northeast,Northeast Public Health Coalition,Georgetown,Ground Water,2811,8387
Groveland Water Department,Essex,Northeast,Northeast Public Health Coalition,Groveland,Ground Water,1996,6267
Haverhill Water Dept.,Essex,Northeast,Northeast Public Health Coalition,Haverhill,Surface Water,17834,60769
Ipswich DPU Water Dept.,Essex,Northeast,Northeast Public Health Coalition,Ipswich,Ground Water,4764,13610
Merrimac Water Department,Essex,Northeast,Northeast Public Health Coalition,Merrimac,Ground Water,1935,6862
Middleton Water Dept.,Essex,Northeast,Northeast Public Health Coalition,Middleton,Purchased Surface Water,1889,7075
Byfield Water District,Essex,Northeast,Northeast Public Health Coalition,Newbury,Ground Water,857,2330
Newburyport Water Department,Essex,Northeast,Northeast Public Health Coalition,Newburyport,Ground Water,8523,20335
Rowley Water Department,Essex,Northeast,Northeast Public Health Coalition,Rowley,Ground Water,1950,6500
Rings Island Water District,Essex,Northeast,Northeast Public Health Coalition,Salisbury,Purchased Ground Water,153,250
Salisbury Water Department,Essex,Northeast,Northeast Public Health Coalition,Salisbury,Ground Water,3953,8283
Eagle Tor Trust,Essex,Northeast,Northeast Public Health Coalition,Topsfield,Ground Water,6,25
Topsfield Water Department,Essex,Northeast,Northeast Public Health Coalition,Topsfield,Ground Water,1848,5257
West Newbury Water Department,Essex,Northeast,Northeast Public Health Coalition,West Newbury,Ground Water,1094,3012
Orange Water Dept.,Franklin,Western,Central MA Public Health Coalition,Orange,Ground Water,1862,6492
Pioneer Place Condominiums,Franklin,Western,Central MA Public Health Coalition,Orange,Ground Water,1,25
Ashfield Water District,Franklin,Western,Mohawk Area Public Health Coalition,Ashfield,Ground Water,148,350
Bernardston Fire Water Dist.,Franklin,Western,Mohawk Area Public Health Coalition,Bernardston,Ground Water,679,1475
122 Main Street,Franklin,Western,Mohawk Area Public Health Coalition,Charlemont,Ground Water,1,30
Woodland MHP LLC,Franklin,Western,Mohawk Area Public Health Coalition,Charlemont,Ground Water,25,36
Colrain Fire District 1,Franklin,Western,Mohawk Area Public Health Coalition,Colrain,Ground Water,50,100
Foundry Brook Association,Franklin,Western,Mohawk Area Public Health Coalition,Colrain,Ground Water,10,28
Griswoldville Water District,Franklin,Western,Mohawk Area Public Health Coalition,Colrain,Ground Water,43,125
Deerfield Fire District,Franklin,Western,Mohawk Area Public Health Coalition,Deerfield,Ground Water,342,1300
Eaglebrook School,Franklin,Western,Mohawk Area Public Health Coalition,Deerfield,Ground Water,15,350
Pan Am Southern Railroad,Franklin,Western,Mohawk Area Public Health Coalition,Deerfield,Surface Water,10,120
South Deerfield Water Supply District,Franklin,Western,Mohawk Area Public Health Coalition,Deerfield,Ground Water,1568,3800
Erving Water Dept.,Franklin,Western,Mohawk Area Public Health Coalition,Erving,Ground Water,270,561
Farley Water Association,Franklin,Western,Mohawk Area Public Health Coalition,Erving,Ground Water,7,25
Weatherheads,Franklin,Western,Mohawk Area Public Health Coalition,Erving,Ground Water,5,101
Northfield Mt Hermon School,Franklin,Western,Mohawk Area Public Health Coalition,Gill,Ground Water,69,750
Riverside Water District,Franklin,Western,Mohawk Area Public Health Coalition,Gill,Surface Water,113,341
Greenfield Water Department,Franklin,Western,Mohawk Area Public Health Coalition,Greenfield,Ground Water,5786,17645
Monroe Water District,Franklin,Western,Mohawk Area Public Health Coalition,Monroe,Surface Water,26,55
Lake Pleasant Water District,Franklin,Western,Mohawk Area Public Health Coalition,Montague,Ground Water,76,280
Montague Center Water District,Franklin,Western,Mohawk Area Public Health Coalition,Montague,Ground Water,156,450
Turners Falls Water Dept.,Franklin,Western,Mohawk Area Public Health Coalition,Montague,Ground Water,2270,7057
East Northfield Water Co.,Franklin,Western,Mohawk Area Public Health Coalition,Northfield,Ground Water,279,584
Northfield Water District,Franklin,Western,Mohawk Area Public Health Coalition,Northfield,Ground Water,234,800
Redemption Christian Academy,Franklin,Western,Mohawk Area Public Health Coalition,Northfield,Ground Water,5,30
Anchorage Nursing Home,Franklin,Western,Mohawk Area Public Health Coalition,Shelburne,Ground Water,1,33
Dragon Hill Condominiums,Franklin,Western,Mohawk Area Public Health Coalition,Shelburne,Ground Water,15,30
Shelburne Falls Fire District,Franklin,Western,Mohawk Area Public Health Coalition,Shelburne,Ground Water,798,1978
Cliffside Apartments,Franklin,Western,Mohawk Area Public Health Coalition,Sunderland,Ground Water,15,500
Mount Toby Apartments,Franklin,Western,Mohawk Area Public Health Coalition,Sunderland,Ground Water,1,32
Pond Ridge Condo Assn.,Franklin,Western,Mohawk Area Public Health Coalition,Sunderland,Ground Water,30,88
Sugarbush Meadows,Franklin,Western,Mohawk Area Public Health Coalition,Sunderland,Ground Water,150,300
Sunderland Water District,Franklin,Western,Mohawk Area Public Health Coalition,Sunderland,Ground Water,991,2990
The Maple Valley School,Franklin,Western,Mohawk Area Public Health Coalition,Wendell,Ground Water,3,80
Whately Water Department,Franklin,Western,Mohawk Area Public Health Coalition,Whately,Ground Water,382,1100
Whately Water District,Franklin,Western,Mohawk Area Public Health Coalition,Whately,Ground Water,44,100
Brimfield Housing Authority,Hampden,Central,Central MA Public Health Coalition,Brimfield,Ground Water,4,60
Meadowbrook Acres Mobile Home Park,Hampden,Central,Central MA Public Health Coalition,Brimfield,Ground Water,96,127
Brookside Village,Hampden,Central,Central MA Public Health Coalition,Wales,Ground Water,65,80
Silver Meadow,Hampden,Central,Central MA Public Health Coalition,Wales,Ground Water,1,25
